dam,capcity,year_completed_original,year_completed,age,river,province,locale,longitude,latitude,wall_height,surface
Rhenosterkop Dam,"204,600
[N][11]",1984,1984,33,Elands River,Limpopo,Marble Hall,28.9327777777778,-25.0958333333333,36,62.4
Rietvlei Dam,"12,300
[N][13][20]",1933,1933,84,"Rietvlei River, a tributary to the Hennops River",Gauteng,Tshwane,28.9327777777778,-25.0958333333333,21,1.89
Rockview Dam,"16,400
[P][21]",1986,1986,31,Palmiet River,Western Cape,Grabouw,28.2658333333333,-25.8766666666667,48,0.778
Roodekoppies Dam,103000,1984,1984,33,Crocodile River,North West,Brits,18.9502777777778,-34.1977777777778,25,15.71
Roodeplaat Dam,"41,200
[N][13]",1959,1959,58,Pienaars River,Gauteng,Tshwane,27.5913888888889,-25.4041666666667,59,3.952
Rustfontein Dam,72200,1955,1955,62,Modder River,Free State,Thaba Nchu,28.3669444444444,-25.6208333333333,36,11.585
Sandile Dam,30960,1983,1983,34,Keiskamma River,Eastern Cape,Keiskammahoek,26.6169444444444,-29.2708333333333,61,1.46
Setumo Dam,19600,1995,1995,22,Molopo River,North West,Mmabatho,27.1011111111111,-32.7166666666667,17,4.473
Shongweni Dam,,1927,1927,90,Sterkspruit and Wekeweke Rivers,KZN,Hillcrest,25.5002777777778,-25.8583333333333,,
Silvermine Dam,,1898,1898,119,,Western Cape,Cape Town,30.7222222222222,-29.8569444444444,,
Slangdraai Dam,10300,1986,1986,31,Sundays River,KZN,Ladysmith,18.3988888888889,-34.0752777777778,15,2.4
Smartt Dam,100300,1912,1912,105,Ongers River,Northern Cape,Britstown,29.7502777777778,-28.2502777777778,28,31.569
Sol Plaatje Dam (Previously Saulspoort Dam),15676,1968,1968,49,Liebenbergsvlei River,Free State,Bethlehem,23.3044444444444,-30.6291666666667,24,3.56
Spioenkop Dam,"270,600
",1973,1973,44,Tugela River,KZN,Bergville,28.3669444444444,-28.2169444444444,53,15.314
Spitskop Dam,"57,800[12]",1974,1974,43,Harts River,Northern Cape,Schmidtsdrift,24.5147222222222,-28.125,18,25.312
Steenbras Dam,33897,1921,1921,96,Steenbras River,Western Cape,Somerset West,24.5147222222222,-28.125,37,3.642
Steenbras Dam - Upper,32483,1977,1977,40,Steenbras River,Western Cape,Gordons Bay,18.8511111111111,-34.1875,37,2.75
Sterkfontein Dam,"2,616,900
",1980,1980,37,Nuwejaar Spruit,Free State,Harrismith,18.9013888888889,-34.1680555555556,93,67.26
Stettynskloof Dam,"14,700
[N][10]",1955,1955,62,Holsloot River,Western Cape,Worcester,29.0194444444444,-28.3875,48,1.004
Stompdrift Dam,55300,1965,1965,52,Olifants River,Western Cape,De Rust,19.2513888888889,-33.8333333333333,49,6.208
Taung Dam,58900,1993,1993,24,Harts River,North West,Taung,22.5855555555556,-33.5125,44,4.65
Theewaterskloof Dam,"480,200
[N][10]",1978,1978,39,Riviersonderend River,Western Cape,Villiersdorp,24.865,-27.525,38,50.822
Trichardtsfontein Dam,15200,1981,1981,36,Trichardt Spruit,Mpumalanga,Trichardt,19.2836111111111,-34.0791666666667,26,2.459
Tsojana Dam,12340,1978,1978,39,Tsojana River,Eastern Cape,Cofimvaba,29.2336111111111,-26.4980555555556,23,2.36
Tweedraai Dam,16000,1991,1991,26,Trichardt Spruit,Mpumalanga,Trichardt,27.6336111111111,-31.8833333333333,21,2.37
Tzaneen Dam (previously Fanie Botha Dam),157291,1977,1977,40,Groot Letaba River,Limpopo,Tzaneen,29.2166666666667,-26.4291666666667,50,11.636
Vaal Barrage,56712,1923[22],1923,94,Vaal River,Gauteng,Vanderbijlpark,30.1633333333333,-23.7936111111111,10,13.485
Vaal Dam,"2,603,400
",1939,1939,78,Vaal River,Free State Gauteng,Deneysville,27.6916666666667,-26.7647222222222,63,322.755
Vaalharts Storage Weir,"48,700[12]",1936,1936,81,Vaal River,North West,Warrenton,28.1222222222222,-26.8836111111111,12,1.189
Vaalkop Dam,"35,000[23]",2010,2010,7,"Elands River, Hex River",North West,Beestekraal,24.9255555555556,-28.1152777777778,,
Vanderkloof Dam (previously P.K. Le Roux Dam),"3,171,300
",1977,1977,40,Orange River,"Northern Cape, Free State",,27.4758333333333,-25.3102777777778,108,133.402
Vanwyksvlei Dam,143081,1884,1884,133,Vanwyksvlei,Northern Cape,Vanwyksvlei,24.7444444444444,-29.9916666666667,15,49.934
Victoria Dam,128[4],1895,1895,122,Disa River,Western Cape,Cape Town,21.8169444444444,-30.3669444444444,,6
Voëlvlei Dam,"158,600
[N][10]",1971,1971,46,Voëlvlei River,Western Cape,Gouda,18.4080555555556,-33.9863888888889,10,15.73
Vondo Dam,30540,1982,1982,35,Mutshundudi River,Limpopo,Sibasa,19.0336111111111,-33.3375,47,
Wagendrift Dam,"55,900
",1963,1963,54,Bushmans River,KZN,Estcourt,30.3352777777778,-22.9458333333333,41,5.084
Waterdown Dam,38400,1958,1958,59,Klipplaat River,Eastern Cape,Whittlesea,29.8502777777778,-29.0375,44,2.608
Welbedacht Dam,"10,200
",1973,1973,44,Caledon River,Free State,Wepener,26.8502777777778,-32.2875,32,10.185
Wemmershoek Dam,"58,700
[N][10]",1957,1957,60,Wemmers River,Western Cape,Franschhoek,26.8502777777778,-29.9083333333333,53,2.96
Westoe Dam,61900,1968,1968,49,Usutu River,Mpumalanga,Amsterdam,19.0888888888889,-33.8336111111111,26,7.333
Witbank Dam,"104,000
[N][11]",1971,1971,46,Olifants River,Mpumalanga,Witbank,30.6180555555556,-26.5041666666667,44,12.112
Witklip Dam,12970,1969,1969,48,Sand River,Mpumalanga,Sabie,29.3169444444444,-25.8916666666667,21,1.875
Wolwedans Dam,25530,1990,1990,27,Great Brak River,Western Cape,Mossel Bay,30.9002777777778,-25.2361111111111,70,1.1
Woodhead Dam,927 [4],1897,1897,120,Disa River,Western Cape,Cape Town,22.2166666666667,-34.0136111111111,38,
Woodstock Dam,"373,300
",1983,1983,34,Tugela River,KZN,Bergville,18.4022222222222,-33.9772222222222,49,29129
Wriggleswade Dam,93200,1991,1991,26,Kubusi River,Eastern Cape,Stutterheim,29.2336111111111,-28.7583333333333,35,10
Xonxa Dam,"115,900
[N][7]",1974,1974,43,White Kei River,Eastern Cape,Queenstown,27.5833333333333,-32.5669444444444,49,12.881
Zaaihoek Dam,"184,600
",1988,1988,29,Slang River,Mpumalanga,Wakkerstroom,27.1869444444444,-31.85,46,12446
,,,,,,,,30.075,-27.4336111111111,,
